Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,City,Zip Code,Lat Long,Latitude,Longitude,Population
Female,61,No,No,No,No,0,No,0,31,No Offer,Yes,25.57,No,Yes,DSL,27,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,No,Credit Card,79.2,2497.2,0.0,70,792.67,3359.87,5,Stayed,No,0,78,4984,Not Churned,Compton,90221,"33.885811, -118.206459",33.885811,-118.206459,51387
Male,53,No,No,No,No,0,No,0,1,No Offer,Yes,11.61,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,20.45,20.45,0.0,0,11.61,32.06,3,Joined,No,0,48,5384,Not Churned,Visalia,93277,"36.303793, -119.375646",36.303793,-119.375646,44741
Male,22,Yes,No,Yes,No,0,Yes,10,64,Offer B,Yes,40.49,No,Yes,Fiber Optic,69,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,102.45,6654.1,0.0,0,2591.36,9245.46,3,Stayed,No,0,58,6398,Not Churned,Canyon Country,91351,"34.422519, -118.420717",34.422519,-118.420717,59259
Male,77,No,Yes,Yes,No,0,Yes,1,43,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0.0,0,624.36,5312.26,2,Churned,Yes,1,65,2728,Competitor made better offer,Santa Barbara,93101,"34.419203, -119.710008",34.419203,-119.710008,31727
Female,63,No,No,No,No,0,No,0,41,No Offer,Yes,10.43,Yes,Yes,Fiber Optic,22,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,106.3,4443.45,0.0,130,427.63,5001.08,2,Churned,Yes,1,85,5383,Price too high,Los Angeles,90033,"34.050198, -118.210946",34.050198,-118.210946,49431
Female,30,No,No,No,No,0,No,0,1,Offer E,Yes,15.44,No,Yes,Fiber Optic,51,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,90.55,90.55,0.0,60,15.44,165.99,2,Churned,Yes,1,72,2627,Competitor made better offer,Castro Valley,94546,"37.708327, -122.083473",37.708327,-122.083473,41698
Male,45,No,No,Yes,No,0,Yes,9,72,Offer A,Yes,17.87,Yes,Yes,Fiber Optic,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.95,8594.4,0.0,0,1286.64,9881.04,3,Stayed,No,0,78,5949,Not Churned,Cabazon,92230,"33.929812, -116.76058",33.929812,-116.76058,2355
Male,39,No,No,No,No,0,No,0,1,No Offer,Yes,25.77,No,Yes,Cable,5,No,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,49.05,49.05,0.0,0,25.77,74.82,3,Joined,No,0,30,3178,Not Churned,Culver City,90232,"34.019323, -118.391902",34.019323,-118.391902,15195
Male,53,No,No,Yes,No,0,Yes,7,34,No Offer,Yes,26.03,No,No,No Internet,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.6,678.8,0.0,0,885.02,1563.82,5,Stayed,No,0,33,4669,Not Churned,Rio Vista,94571,"38.148862, -121.737696",38.148862,-121.737696,5246
Female,33,No,No,Yes,Yes,1,Yes,7,14,No Offer,Yes,40.22,No,Yes,Fiber Optic,19,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,80.9,1152.8,0.0,0,563.0799999999999,1715.88,5,Stayed,No,0,46,2563,Not Churned,Long Beach,90808,"33.823943, -118.111335",33.823943,-118.111335,37417
Male,37,No,No,No,Yes,3,No,0,1,No Offer,Yes,17.89,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,19.2,19.2,0.0,0,17.89,37.09,3,Joined,No,0,76,3383,Not Churned,Scotia,95565,"40.440636, -124.098739",40.440636,-124.098739,1125
Male,79,No,Yes,Yes,No,0,Yes,1,72,No Offer,Yes,17.3,Yes,Yes,DSL,23,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Credit Card,84.1,5981.65,0.0,0,1245.6,7227.25,3,Stayed,No,0,63,4671,Not Churned,Yucca Valley,92284,"34.159534, -116.425984",34.159534,-116.425984,20486
Female,60,No,No,No,No,0,No,0,3,No Offer,Yes,40.98,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.55,61.05,0.0,0,122.94,183.99,4,Joined,No,0,46,3889,Not Churned,Valley Springs,95252,"38.156971, -120.849231",38.156971,-120.849231,11266
Male,53,No,No,No,No,0,No,0,71,No Offer,Yes,6.75,Yes,Yes,Fiber Optic,15,No,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,86.4,6172.0,0.0,0,479.25,6651.25,5,Stayed,No,0,30,4069,Not Churned,Fillmore,93015,"34.408161, -118.865111",34.408161,-118.865111,16013
Male,35,No,No,Yes,Yes,2,Yes,1,53,Offer B,Yes,37.57,Yes,Yes,DSL,15,Yes,Yes,No,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,64.15,3491.55,0.0,0,1991.21,5482.76,3,Stayed,No,0,45,5570,Not Churned,Palermo,95968,"39.435756, -121.552071",39.435756,-121.552071,1254
Female,80,No,Yes,No,No,0,No,0,56,No Offer,Yes,17.33,Yes,Yes,Fiber Optic,16,No,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,99.9,5706.3,0.0,0,970.4799999999999,6676.78,3,Stayed,No,0,45,5840,Not Churned,Winchester,92596,"33.657433, -117.04254",33.657433,-117.04254,4093
Male,21,Yes,No,Yes,Yes,1,Yes,6,45,Offer B,Yes,17.23,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.2,903.7,0.0,0,775.35,1679.05,3,Stayed,No,0,24,3451,Not Churned,Paso Robles,93446,"35.634222, -120.728341",35.634222,-120.728341,35586
Male,72,No,Yes,Yes,No,0,No,0,26,Offer C,Yes,1.26,Yes,Yes,Fiber Optic,18,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,105.75,2710.25,0.0,90,32.76,2833.01,1,Churned,Yes,1,91,3157,Product dissatisfaction,Spring Valley,91978,"32.730264, -116.950963",32.730264,-116.950963,7863
Female,62,No,No,Yes,No,0,Yes,1,11,Offer D,Yes,15.69,Yes,Yes,DSL,12,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,66.35,740.8,0.0,0,172.59,913.39,1,Churned,Yes,1,91,2860,Competitor had better devices,Modesto,95351,"37.621458, -121.012295",37.621458,-121.012295,47536
Male,73,No,Yes,Yes,No,0,Yes,10,33,No Offer,Yes,44.54,No,Yes,Fiber Optic,18,Yes,Yes,No,Yes,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,93.55,3055.5,0.0,0,1469.82,4525.32,4,Stayed,No,0,21,4414,Not Churned,Oakland,94605,"37.758019, -122.138678",37.758019,-122.138678,42854
Female,25,Yes,No,Yes,Yes,1,Yes,10,23,No Offer,Yes,9.84,Yes,Yes,Fiber Optic,71,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,85.6,1868.4,0.0,0,226.32,2094.72,3,Stayed,No,0,25,3513,Not Churned,El Cajon,92020,"32.79697, -116.969082",32.79697,-116.969082,55277
Female,44,No,No,No,No,0,No,0,2,No Offer,Yes,8.32,No,Yes,Fiber Optic,16,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.75,164.5,0.0,0,16.64,181.14,3,Churned,Yes,1,91,5172,Competitor made better offer,San Diego,92109,"32.787836, -117.232356",32.787836,-117.232376,46086
Female,34,No,No,No,No,0,No,0,2,No Offer,Yes,49.91,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.3,44.4,0.0,0,99.82,144.22,3,Joined,No,0,43,3009,Not Churned,Gardena,90247,"33.890853, -118.297967",33.890853,-118.297967,47758
